state,county,year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,births_low,avg_weight_low,avg_ges_age_low,births_all,avg_weight_all,avg_ges_age_all,pct_low,high_rate
minnesota,hennepin,2015,0.332401,24.844693,0.037938,35.219988,8.444663,797.0,1970.094,33.966,13278.0,3354.965,38.904,0.06,0
minnesota,hennepin,2016,0.422804,23.169589,0.036743,38.243417,7.889634,776.0,1938.351,33.956,13068.0,3346.005,38.878,0.0594,0
minnesota,hennepin,2017,0.411774,24.039726,0.037217,41.843097,7.720386,753.0,1975.104,34.201,12747.0,3349.35,38.878,0.0591,0
minnesota,hennepin,2018,0.535242,13.220327,0.037095,35.588811,8.645918,751.0,1955.598,33.903,12344.0,3342.768,38.833,0.0608,0
minnesota,hennepin,2020,0.445808,11.38631,0.030483,30.93365,8.740955,709.0,2013.22,34.396,11334.0,3342.649,38.773,0.0626,0
mississippi,hinds,2016,0.226167,6.377117,0.045641,16.537037,8.431356,307.0,1944.104,33.896,2650.0,3089.264,37.978,0.1158,1
missouri,greene,2009,0.360992,20.258953,0.047848,14.0,9.548333,140.0,1911.864,33.486,2504.0,3351.378,38.568,0.0559,0
missouri,st. louis city,2009,0.363114,26.528767,0.045634,33.126457,11.9575,337.0,1970.804,34.033,3502.0,3211.402,38.424,0.0962,1
missouri,st. louis city,2010,0.345541,12.83084,0.048514,38.872541,13.945455,360.0,1968.367,33.975,3628.0,3205.582,38.515,0.0992,1
missouri,st. louis city,2011,0.27243,26.543732,0.054093,43.328444,13.818182,301.0,1964.126,33.827,3341.0,3217.328,38.511,0.0901,1
missouri,st. louis city,2012,0.275297,28.97172,0.057117,46.393441,12.136999,294.0,1939.235,33.83,3347.0,3213.561,38.512,0.0878,1
missouri,st. louis city,2013,0.28637,26.910864,0.048813,32.133565,11.377256,307.0,1969.3,34.111,3347.0,3226.805,38.554,0.0917,1
missouri,st. louis city,2014,0.27607,30.119553,0.048807,31.413046,12.014039,303.0,1969.076,34.224,3226.0,3204.594,38.497,0.0939,1
missouri,st. louis city,2015,0.28398,24.944638,0.039986,28.52576,11.309141,309.0,1962.9,34.282,3001.0,3194.888,38.505,0.103,1
missouri,st. louis city,2016,0.308557,25.014607,0.048369,25.297548,9.653008,278.0,1933.885,33.651,2900.0,3196.952,38.458,0.0959,1
missouri,st. louis city,2017,0.272723,25.426171,0.044896,27.734504,9.065927,280.0,2001.257,34.3,3007.0,3206.953,38.482,0.0931,1
missouri,st. louis city,2018,0.279568,24.497067,0.04414,25.235476,10.707883,254.0,1961.976,34.06,2912.0,3202.303,38.443,0.0872,1
missouri,st. louis city,2019,0.277894,22.936712,0.042942,23.275587,10.419393,254.0,1996.173,34.406,2740.0,3185.148,38.459,0.0927,1
missouri,st. louis city,2020,0.26405,22.572877,0.039735,21.834369,10.022464,264.0,1984.364,34.22,2604.0,3177.269,38.338,0.1014,1
montana,yellowstone,2007,0.364222,3.453292,0.047983,23.932203,7.961345,108.0,2091.269,34.833,1570.0,3302.662,38.527,0.0688,0
nevada,clark,2009,0.637297,34.514045,0.053365,28.525212,9.053333,1592.0,2012.786,34.177,22784.0,3252.355,38.461,0.0699,1
nevada,clark,2010,0.731716,30.506215,0.053449,24.209769,7.372807,1501.0,2011.366,34.342,22259.0,3258.116,38.43,0.0674,0
nevada,clark,2011,0.596853,29.986186,0.054478,26.162042,8.1725,1471.0,2009.814,34.254,21346.0,3267.511,38.471,0.0689,1
nevada,clark,2012,0.674464,33.453846,0.062322,29.484628,8.600855,1495.0,2025.852,34.342,21759.0,3265.26,38.542,0.0687,0
